Year,Month,Day,Hour,Minute,Department,Division,Case_Type,Hundred_Block,Street_Name,Local_Area
2019,2,15,21,32,ENG - Streets,Streets Operations,Snow & Ice Removal - City Property,54##,QUEBEC ST,Riley Park
2019,2,15,21,34,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,5700, - 5799 WEST BOULEVARD,Kerrisdale
2019,2,15,21,37,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,44##,NANAIMO ST,Renfrew-Collingwood
2019,2,15,21,37,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,6000, - 6099 WEST BOULEVARD,Kerrisdale
2019,2,15,21,39,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,6100, - 6199 WEST BOULEVARD,Kerrisdale
2019,2,15,21,40,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,6200, - 6299 WEST BOULEVARD,Kerrisdale
2019,2,15,21,41,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,6300, - 6399 WEST BOULEVARD,Kerrisdale
2019,2,15,21,42,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,6400, - 6499 WEST BOULEVARD,Kerrisdale
2019,2,15,21,48,ENG - Streets,Streets Operations,Pothole - Repair,21##,ARBUTUS ST,Kitsilano
2019,2,15,22,38,ENG - Streets,Streets Operations,Snow & Ice Removal - City Property,26##,WAVERLEY AV,Victoria-Fraserview
2019,2,15,22,40,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,76##,MAIN ST,Sunset
2019,2,15,23,34,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,21##,W 42ND AV,Kerrisdale
2019,2,16,0,7,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,5##,E 28TH AV,Riley Park
2019,2,16,5,39,DBL - Inspections,Property Use,PUI Noise Complaint Case,10##,W 57TH AV,Marpole
2019,2,16,6,54,ENG - Office of the Deputy GM - Engineering,Kent Construction Supplies and Services,Snow and Ice Removal - Sidewalk Bylaw Violation,50##,YEW ST,Arbutus-Ridge
2019,2,16,6,56,ENG - Office of the Deputy GM - Engineering,Kent Construction Supplies and Services,Snow and Ice Removal - Sidewalk Bylaw Violation,52##,EAST BOULEVARD,Shaughnessy
2019,2,16,7,6,DBL - Licensing & Animal Services,Animal Services,Lost Pets Case,5##,W 12TH AV,Fairview
2019,2,16,7,10,DBL - Licensing & Animal Services,Animal Services,Lost Pets Case,Intersection,W 16TH AV and YUKON ST,Mount Pleasant
2019,2,16,7,10,DBL - Licensing & Animal Services,Animal Services,Lost Pets Case,Intersection,W 16TH AV and YUKON ST,Riley Park
