Year,Month,Day,Hour,Minute,Department,Division,Case_Type,Hundred_Block,Street_Name,Local_Area
2016,9,1,7,4,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,66##,DUMFRIES ST,Victoria-Fraserview
2016,9,1,7,7,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,4##,ALEXANDER ST,Strathcona
2016,9,1,7,11,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,19##,E 33RD AV,Kensington-Cedar Cottage
2016,9,1,7,14,CSG - Inspections,Property Use,PUI Noise Complaint Case,Intersection,E 1ST AV and QUEBEC ST,Mount Pleasant
2016,9,1,7,17,Business Planning & Services,311 Contact Centre,Citizen Feedback,86##,LOGAN ST,Marpole
2016,9,1,7,19,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,##,E 27TH AV,Riley Park
2016,9,1,7,21,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),35##,W 43RD AV,Dunbar Southlands
2016,9,1,7,26,CSG - Inspections,Property Use,PUI Noise Complaint Case,6##,E 17TH AV,Riley Park
2016,9,1,7,29,ENG - Transportation,Street Activities - Integrated Graffiti Management,Graffiti Removal - External Organization,10##,W 10TH AV,Fairview
2016,9,1,7,33,PRB - Planning and Operations,Street Trees,Street Tree Work Request SR,34##,E 29TH AV,Renfrew-Collingwood
2016,9,1,7,36,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,6##,E PENDER ST,Strathcona
2016,9,1,7,36,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),24##,KITCHENER ST,Hastings-Sunrise
2016,9,1,7,37,ENG - Transportation,Street Activities - Integrated Graffiti Management,Graffiti Removal - External Organization,12##,W 10TH AV,Fairview
2016,9,1,7,39,ENG - Water & Sewer,Water Operations,Water General Work Request,29##,W 23RD AV,Arbutus Ridge
2016,9,1,7,41,ENG - Streets,Streets Operations,Sidewalk - Repair,14##,E 41ST AV,Victoria-Fraserview
2016,9,1,7,57,ENG - Solid Waste,Sanitation,Missed Recycling Pickup,32##,E PENDER ST,Hastings-Sunrise
2016,9,1,7,58,ENG - Solid Waste,Sanitation,Street Cleaning & Debris Pickup,8100, - 8199 KNIGHT ST BRIDGE,
2016,9,1,8,7,ENG - Solid Waste,Sanitation,Missed Recycling Pickup,18##,COTTON DRIVE,Grandview-Woodland
2016,9,1,8,8,Business Planning & Services,311 Contact Centre,Citizen Feedback,18##,COTTON DRIVE,Grandview-Woodland
2016,9,1,8,10,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,18##,COTTON DRIVE,Grandview-Woodland
2016,9,1,8,10,Business Planning & Services,311 Contact Centre,Citizen Feedback,18##,COTTON DRIVE,Grandview-Woodland
2016,9,1,8,16,ENG - Solid Waste,Sanitation,Cart - Garbage,7##,E PENDER ST,Strathcona
2016,9,1,8,29,CSG - Licenses,Animal Services,Animal Control General Inquiry Case,22##,W 47TH AV,Kerrisdale
2016,9,1,8,30,ENG - Streets,Streets Operations,Homelessness/Transient Issue,Intersection,GRANVILLE ST and W 10TH AV,Fairview
2016,9,1,8,30,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,53##,CECIL ST,Renfrew-Collingwood
2016,9,1,8,31,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,64##,BALACLAVA ST,Kerrisdale
2016,9,1,8,32,Business Planning & Services,311 Contact Centre,Citizen Feedback,64##,BALACLAVA ST,Kerrisdale
2016,9,1,8,35,ENG - Solid Waste,Sanitation,Missed Recycling Pickup,21##,W 4TH AV,Kitsilano
2016,9,1,8,39,ENG - Streets,Traffic and Electrical Operations,Sign - Repair,Intersection,E 28TH AV and JOHN ST,Riley Park
2016,9,1,8,42,ENG - Streets,Traffic and Electrical Operations,Sign - Repair,5##,W 8TH AV,Fairview
2016,9,1,8,42,PRB - Planning and Operations,Street Trees,Street Tree Work Request SR,29##,W BROADWAY,Kitsilano
