Year,Month,Day,Hour,Minute,Department,Division,Case_Type,Hundred_Block,Street_Name,Local_Area
2016,12,1,6,50,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,59##,ARGYLE ST,Victoria-Fraserview
2016,12,1,6,50,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,5##,E 21ST AV,Riley Park
2016,12,1,6,50,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,24##,DUNBAR ST,Kitsilano
2016,12,1,7,11,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,7##,W 69TH AV,Marpole
2016,12,1,7,19,ENG - Solid Waste,Solid Waste Management,Illegal Dumping/Abandoned Garbage Pickup,27##,E 3RD AV,Hastings-Sunrise
2016,12,1,7,21,ENG - Water & Sewer,Water Operations,Water General Inquiry,20##,TURNER ST,Grandview-Woodland
2016,12,1,7,22,ENG - Streets,Streets Operations,Streets - General Issues,Intersection,E 31ST AV and KNIGHT ST,Kensington-Cedar Cottage
2016,12,1,7,26,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,20##,CHARLES ST,Grandview-Woodland
2016,12,1,7,44,CSG - Inspections,Property Use,PUI Noise Complaint Case,11##,HOMER ST,Downtown
2016,12,1,7,49,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,25##,E GEORGIA ST,Hastings-Sunrise
2016,12,1,7,57,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),27##,W 37TH AV,Arbutus Ridge
2016,12,1,7,57,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,27##,W 37TH AV,Arbutus Ridge
2016,12,1,8,4,ENG - Solid Waste,Sanitation,Cart - Garbage,27##,W 7TH AV,Kitsilano
2016,12,1,8,5,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),56##,COLUMBIA ST,Riley Park
2016,12,1,8,6,ENG - Solid Waste,Sanitation,Parks Litter Can or Cart Request,53##,COMMERCIAL ST,Kensington-Cedar Cottage
2016,12,1,8,6,ENG - Solid Waste,Sanitation,Street Cleaning & Debris Pickup,1000, - 1099 JERVIS ST,West End
2016,12,1,8,7,ENG - Solid Waste,Sanitation,Street Cleaning & Debris Pickup,1600, - 1699 COMOX ST,West End
2016,12,1,8,15,CSG - Inspections,Plumbing and Gas,Plumbing and Gas Inspection Cancellation Case,64##,SOPHIA ST,Sunset
2016,12,1,8,15,Business Planning & Services,311 Contact Centre,Citizen Feedback,52##,HOY ST,Renfrew-Collingwood
2016,12,1,8,17,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),21##,W 45TH AV,Kerrisdale
2016,12,1,8,17,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,21##,W 45TH AV,Kerrisdale
2016,12,1,8,18,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,21##,W 45TH AV,Kerrisdale
2016,12,1,8,24,ENG - Solid Waste,Sanitation,Street Cleaning & Debris Pickup,700, - 799 E 50TH AV,Sunset
2016,12,1,8,26,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,13##,W 59TH AV,Marpole
2016,12,1,8,26,CSG - Inspections,Plumbing and Gas,Plumbing and Gas Inspection Cancellation Case,64##,SOPHIA ST,Sunset
2016,12,1,8,31,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,Intersection,BOBOLINK AV and ELLIOTT ST,Victoria-Fraserview
2016,12,1,8,40,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,2##,W 46TH AV,Oakridge
2016,12,1,8,40,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,14##,W 40TH AV,Shaughnessy
2016,12,1,8,41,Business Planning & Services,311 Contact Centre,Citizen Feedback,34##,HEATHER ST,South Cambie
2016,12,1,8,41,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,53##,BALSAM ST,Arbutus Ridge
2016,12,1,8,42,ENG - Transportation,Traffic and Data Management,Curbside Sign - Modify,13##,FRANKLIN ST,Grandview-Woodland
2016,12,1,8,42,Business Planning & Services,311 Contact Centre,Citizen Feedback,14##,W 40TH AV,Shaughnessy
2016,12,1,8,45,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,3##,E 1ST AV,Strathcona
2016,12,1,8,46,Business Planning & Services,311 Contact Centre,Citizen Feedback,13##,W 46TH AV,Oakridge
2016,12,1,8,48,ENG - Solid Waste,Sanitation,Cart - Garbage,67##,FREMLIN ST,Oakridge
2016,12,1,8,50,CSG - Licenses,Animal Services,Lost Pets Case,Intersection,COMMERCIAL DRIVE and E 12TH AV,Kensington-Cedar Cottage
2016,12,1,8,50,ENG - Water & Sewer,Sewers Operations,Catch Basin Issues,Intersection,DUNSMUIR VIADUCT and MAIN ST,Strathcona
2016,12,1,8,51,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),69##,CULLODEN ST,Sunset
2016,12,1,8,52,Business Planning & Services,311 Contact Centre,Citizen Feedback,Intersection,DUNSMUIR VIADUCT and MAIN ST,Strathcona
2016,12,1,8,54,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),8##,E 59TH AV,Sunset
2016,12,1,8,55,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,##,E 41ST AV,Riley Park
2016,12,1,8,56,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,58##,WALLACE ST,Dunbar Southlands
2016,12,1,8,56,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,20##,W 35TH AV,Shaughnessy
2016,12,1,8,59,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,55##,WILLOW ST,South Cambie
2016,12,1,9,3,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,14##,QUEBEC ST,Downtown
2016,12,1,9,5,ENG - Solid Waste,Sanitation,Cart - Garbage,32##,E 26TH AV,Renfrew-Collingwood
2016,12,1,9,9,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,21##,WATERLOO ST,Kitsilano
2016,12,1,9,11,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),7##,W 16TH AV,Fairview
2016,12,1,9,11,ENG - Streets,Streets Operations,Homelessness/Transient Issue,9200, - 9299 HUDSON ST,Marpole
2016,12,1,9,12,ENG - Solid Waste,Sanitation,Cart - Garbage,18##,E 63RD AV,Victoria-Fraserview
2016,12,1,9,15,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,8##,E 38TH AV,Kensington-Cedar Cottage
2016,12,1,9,19,Business Planning & Services,311 Contact Centre,Citizen Feedback,17##,DUNBAR ST,Kitsilano
2016,12,1,9,22,ENG - Water & Sewer,Water Design,Water Conservation Violation,18##,W KING EDWARD AV,Shaughnessy
2016,12,1,9,22,ENG - Streets,Traffic and Electrical Operations,Sign - Repair,23##,BURRARD ST,Kitsilano
2016,12,1,9,24,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,2##,E 38TH AV,Riley Park
2016,12,1,9,25,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),10##,GILFORD ST,West End
2016,12,1,9,26,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,3900, - 3999 TUPPER ST,South Cambie
2016,12,1,9,28,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,18##,GREER AV,Kitsilano
2016,12,1,9,29,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,18##,GREER AV,Kitsilano
2016,12,1,9,29,CSG - Licenses,Animal Services,Lost Pets Case,Intersection,W 7TH AV and WILLOW ST,Fairview
2016,12,1,9,31,ENG - Transportation,Traffic and Data Management,Curbside Sign - New,Intersection,ALMA ST and W 41ST AV,Dunbar Southlands
2016,12,1,9,32,ENG - Transportation,Street Activities - Integrated Graffiti Management,Graffiti Removal - City Property,28##,COMMERCIAL DRIVE,Kensington-Cedar Cottage
2016,12,1,9,36,ENG - Solid Waste,Sanitation,Street Cleaning & Debris Pickup,8000, - 8299 MONTCALM ST,Marpole
2016,12,1,9,37,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,18##,W 1ST AV,Kitsilano
2016,12,1,9,37,ENG - Water & Sewer,Water Design,Water Conservation Violation,22##,W 18TH AV,Arbutus Ridge
2016,12,1,9,39,ENG - Transportation,Street Activities - Integrated Graffiti Management,Graffiti Removal - City Property,10##,SEYMOUR ST,Downtown
2016,12,1,9,41,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,16##,E 22ND AV,Kensington-Cedar Cottage
2016,12,1,9,41,CSG - Licenses,License Office,Licence Payment Request Case,5##,W 10TH AV,Fairview
2016,12,1,9,43,CSG - Licenses,Animal Services,Holding Stray Case,18##,MAPLE ST,Kitsilano
2016,12,1,9,43,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,10##,HARWOOD ST,West End
2016,12,1,9,47,ENG - Transportation,Street Activities - Integrated Graffiti Management,Graffiti Removal - City Property,10##,RICHARDS ST,Downtown
