Year,Month,Day,Hour,Minute,Department,Division,Case_Type,Hundred_Block,Street_Name,Local_Area
2016,2,1,7,7,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,10##,E 52ND AV,Sunset
2016,2,1,7,46,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,31##,HEATHER ST,Fairview
2016,2,1,7,54,ENG - Solid Waste,Sanitation,Cart - Garbage,19##,W 18TH AV,Shaughnessy
2016,2,1,7,56,ENG - Solid Waste,Sanitation,Cart - Garbage,19##,W 18TH AV,Shaughnessy
2016,2,1,7,57,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,24##,E 2ND AV,Hastings-Sunrise
2016,2,1,7,58,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,31##,HEATHER ST,Fairview
2016,2,1,8,4,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,57##,SELKIRK ST,Oakridge
2016,2,1,8,5,ENG - Solid Waste,Sanitation,Missed Recycling Pickup,57##,SELKIRK ST,Oakridge
2016,2,1,8,11,ENG - Streets,Streets Operations,Pothole - Repair,Intersection,CLARK DRIVE and E 1ST AV and GRANDVIEW VIADUCT,Grandview-Woodland
2016,2,1,8,18,ENG - Solid Waste,Sanitation,Cart - Apartment Recycling,88##,HUDSON ST,Marpole
2016,2,1,8,19,Business Planning & Services,311 Contact Centre,Citizen Feedback,##,W 11TH AV,Mount Pleasant
2016,2,1,8,19,ENG - Solid Waste,Sanitation,Collection Calendar Mail-Out Request,31##,ALMA ST,Kitsilano
2016,2,1,8,20,ENG - Streets,Streets Operations,Pothole - Repair,Intersection,CLARK DRIVE and E 1ST AV and GRANDVIEW VIADUCT,Grandview-Woodland
2016,2,1,8,21,Business Planning & Services,311 Contact Centre,Citizen Feedback,Intersection,VENABLES ST and VICTORIA DRIVE,Grandview-Woodland
2016,2,1,8,24,ENG - Solid Waste,Sanitation,Collection Calendar Mail-Out Request,23##,CORNWALL AV,Kitsilano
2016,2,1,8,26,ENG - Transportation,Street Activities - Streets Furniture,Street Furniture Repair and Maintenance Request,Intersection,CAMBIE ST and W PENDER ST,Downtown
2016,2,1,8,30,ENG - Solid Waste,Sanitation,Cart - Garbage,31##,E 3RD AV,Hastings-Sunrise
2016,2,1,8,30,ENG - Solid Waste,Sanitation,Parks Litter Can or Cart Request,19##,WINDERMERE ST,Hastings-Sunrise
2016,2,1,8,35,ENG - Solid Waste,Sanitation,Collection Calendar Mail-Out Request,55##,INVERNESS ST,Kensington-Cedar Cottage
2016,2,1,8,41,ENG - Solid Waste,Sanitation,Cart - Garbage,23##,W 51ST AV,Kerrisdale
2016,2,1,8,42,CSG - Licenses,Animal Services,Lost Pets Case,15##,E 4TH AV,Grandview-Woodland
2016,2,1,8,43,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),23##,W 51ST AV,Kerrisdale
2016,2,1,8,47,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,4##,E 59TH AV,Sunset
2016,2,1,8,51,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),21##,WILLIAM ST,Grandview-Woodland
2016,2,1,8,55,Business Planning & Services,311 Contact Centre,Citizen Feedback,20##,E PENDER ST,Grandview-Woodland
2016,2,1,8,56,Business Planning & Services,311 Contact Centre,Citizen Feedback,20##,E PENDER ST,Grandview-Woodland
2016,2,1,9,5,ENG - Solid Waste,Sanitation,Cart - Apartment Recycling,2##,ALEXANDER ST,Strathcona
2016,2,1,9,6,ENG - Transportation,Traffic and Data Management,Traffic & Pedestrian Signal - New,Intersection,DUNBAR ST and W 39TH AV,Dunbar Southlands
2016,2,1,9,13,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,16##,W 14TH AV,Fairview
2016,2,1,9,14,ENG - Streets,Streets Operations,Boulevard Maintenance Issues,21##,W 10TH AV,Kitsilano
